year;id;study;t1;t2;effect;se
2008.5;187;187;RIS;PBO;-0.56;0.12
2008.5;188;188;ILO;PBO;-0.22;0.1
2008.5;188;188;ILO;RIS;0.33;0.1
2008.5;188;188;RIS;PBO;-0.55;0.12
2002;189;189;ARI;HAL;0.3;0.25
2002;189;189;ARI;PBO;-0.64;0.25
2002;189;189;HAL;PBO;-0.91;0.26
2002;190;190;ARI;HAL;-0.21;0.19
2002;190;190;ARI;PBO;-0.53;0.19
2002;190;190;HAL;PBO;-0.37;0.19
2011;216;216;OLA;PBO;-0.89;0.28
